id,topic,pollingfirm,date,question,correct,incorrect,dk,noptions,explicitdk,matter.of.opinion,n,mode,lcongenial.options,rcongenial.options,correct.valence ,prompt.type ,inference,academic_comm,footnotes
52,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow undocumented immigrants to receive financial help from the government to buy health insurance?",38,43,19,3,Y,Y,1505,telephone,,,,TBYK,N,1,
53,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦establish a government panel to make decisions about end-of-life care for people on Medicare?",41,41,19,3,Y,Y,1505,telephone,,,,TBYK,N,1,
54,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),10/08-14/14,"To the best of your knowledge, would you say the (2010) health reform law does or does not provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",54,31,16,3,Y,Y,1503,telephone,,,,TBYK,N,1,
55,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦gradually close the Medicare prescription drug 'doughnut hole' or 'coverage gap' so people on Medicare will no longer be required to pay the full cost of their medications when they reach the gap?",40,34,26,3,Y,Y,1504,telephone,,,,TBYK,N,1,
56,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦eliminate out-of-pocket costs for many preventive services such as annual check-ups and cholesterol screenings?",43,38,18,3,Y,Y,1504,telephone,,,,TBYK,N,1,
57,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow undocumented immigrants to receive financial help from the government to buy health insurance?",32,46,22,3,Y,Y,1504,telephone,,,,TBYK,N,1,
58,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow young adults to stay on their parents' insurance plans until age 26?",71,18,11,3,Y,Y,1504,telephone,,,,TBYK,N,1,
59,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦increase the Medicare payroll tax on earnings for upper income Americans?",46,32,23,3,Y,Y,1504,telephone,,,,TBYK,N,1,
60,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦require insurance companies that spend too little money on health care services and too much on administrative costs and profits to give their customers a rebate?",44,37,19,3,Y,Y,1504,telephone,,,,TBYK,N,1,
61,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦establish a government panel to make decisions about end-of-life care for people on Medicare?",44,34,23,3,Y,Y,1504,telephone,,,,TBYK,N,1,
62,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not. To the best of your knowledge, would you say the health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",78,15,7,3,Y,Y,1504,telephone,,,,TBYK,N,1,
63,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?",60,25,15,3,Y,Y,1504,telephone,,,,TBYK,N,1,
64,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",63,28,9,3,Y,Y,1504,telephone,,,,TBYK,N,1,
65,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦prohibit insurance companies from denying coverage because of a person's medical history?",54,35,11,3,Y,Y,1504,telephone,,,,TBYK,N,1,
66,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not. First, to the best of your knowledge, would you say the health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",81,15,4,3,Y,Y,1506,telephone,,,,TBYK,N,1,
67,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?",58,27,15,3,Y,Y,1506,telephone,,,,TBYK,N,1,
68,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦prohibit insurance companies from denying coverage because of a person's medical history?",54,36,10,3,Y,Y,1506,telephone,,,,TBYK,N,1,
69,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",63,29,9,3,Y,Y,1506,telephone,,,,TBYK,N,1,
70,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦create health insurance exchanges or marketplaces where people who don't get coverage through their employers can shop for insurance and compare prices and benefits?",68,22,9,3,Y,Y,1506,telephone,,,,TBYK,N,1,
71,(stopped at 161/3685),,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,
,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/10-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform legislation currently being discussed in Congress will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES) ",14.49,75.66,9.85,3,N,Y,"1,208",,1,1,L,AFYK,N,1,
,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),04/09-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform law will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES)",27.81,60.18,12,3,N,Y,"1,208",,1,1,L,AFYK,N,1,
,Health Care,Pew Research Center for the People & the Press,08/14-17/09,"From what you know, do you think it is true or not true that the health care (reform) legislation will create these so called 'death panels' (or government organizations that will make decisions about who will and will not receive health services when they are critically illl)?*",50,30,20,2,N,Y,"1,003",,0,1,N,AFYK,N,1,
,Health Care,Kaiser Family Foundation and the Harvard School of Public Health,1/4-14/11,"Do you think health care costs nationally are rising faster than the overall rate of inflation, slower than the overall rate of inflation, or at about the same rate?",63,33,4,3,N,Y,"1,502",,0,2,L,DYT,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"Do you think Saddam Hussein’s regime in Iraq was DIRECTLY involved in planning, financing, or carrying out the terrorist attacks of September 11th, 2001, or not? ",53.53,37.26,9.39,2,N,Y,"1,001",,0,1,L,DYT,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"To the best of your knowledge, has the U.S. found chemical or biological weapons hidden by Saddam Hussein’s regime since the Iraq war began in 2003, or not?",71.76,19.48,8.89,2,N,Y,"1,001",,0,1,L,TBYK,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,Which ONE of the following countries did most of the 9/11 hijackers come from?,49.35,38.46,12.19,4,N,N,"1,001",,0,1,N,N/A,N,1,
,Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq had weapons of mass destruction.",37.35,53.31,9.34,2,N,Y,"1,025",,0,1,L,BWYH,N,1,
,Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq was connected to the September eleventh terrorist attacks.",49.42,39.3,11.28,2,N,Y,"1,025",,0,1,L,BWYH,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Nuclear Weapons, or not?",26.58,38.29,35.13,2,N,Y,"1,204",,0,1,L,AFYK,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Chemical or biological weapons, or not?",9.63,62.54,27.82,2,N,Y,"1,204",,0,1,L,AFYK,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"Please try to answer my next questions about Iraq to the best of your knowledge.  But if you're not sure of an answer - that's okay - just tell me and I'll go to the next question.  Do you think Iraq and Al Queda - Osama bin Laden's organization - are allied and working together to plan new acts of terrorism, or not?",18.44,63.87,17.69,2,Y,Y,"1,204",,0,1,L,DYT,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, how many of the September 11th terrorist hijackers were Iraqi citizens...",17,50,33,4,Y,Y,"1,204",,1,2,L,AFYK,N,1,
,Iraq ,Gallup Organization (Gallup/CNN/USA Today),06/21-23/04,"Do you think Saddam Hussein [suh-DAHM WHO-sane] was personally involved in the September 11th terrorist attacks, or not?",54.89,40.33,4.78,2,N,Y,"1,005",,0,1,L,DYT,N,1,
,Iraq ,Gallup Organization (Gallup/CNN/USA Today),06/21-23/04,Do you think Saddam Hussein did ?or did not ?have long-established ties to Osama bin Laden’s [Oh-SOM-ah Bin LAH-den] terrorist organization known as al Qaeda [al KAY-da]?,31.01,63.37,5.62,2,N,Y,"1,005",,0,1,L,DYT,N,1,
,Iraq ,Gallup Organization (Gallup/CNN/USA Today),12/15-16/03,"Do you think Saddam Hussein [suh-DAHM WHO-sane] was personally involved in the September 11th terrorist attacks, or not?",43.66,50.68,5.46,2,N,Y,"1,000",,0,1,L,DYT,N,1,
,Global Warming,ABC News/Stanford University/Time Magazine,03/9-14/06,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",35,64,1,2,N,Y,"1,002",,0,1,L,DYT,N,1,
,Global Warming,ABC News/Stanford University/Washington Post,04/5-10/07,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",40,56,3,2,N,Y,"1,002",,0,1,L,DYT,N,1,
,Global Warming,Princeton Survey Research Associates International (Newsweek),08/1-2/07,"Now, thinking specifically about the issue of global warming... Do you think most climate scientists agree that the earth has been warming in recent years, OR do you think there is a lot of disagreement among climate scientists about whether the earth has been warming?",52,39,9,2,N,Y,"1,002",,0,1,L,DYT,N,1,
,Global Warming,Princeton Survey Research Associates International (Newsweek),08/1-2/07,"Do you think most climate scientists agree that human activities, such as burning coal and oil, are a major cause of global warming, OR do you think there is a lot of disagreement among climate scientists about whether human activities are a major cause?",47,42,12,2,N,Y,"1,002",,0,1,L,DYT,N,1,
,Global Warming,ABC News/Discovery Channel/Stanford University,07/23-28/08,"Do you think most scientists agree with one another about the causes of global warming, or is there a lot of disagreement among scientists about that?",39,57,4,2,N,Y,"1,000",,0,1,L,DYT,N,1,
,Global Warming,ABC News/Discovery Channel/Stanford University,07/23-28/08,"Do you think most scientists agree with one another about the causes of global warming, or is there a lot of disagreement among scientists about that?",33,63,5,2,N,Y,500,,0,1,L,DYT,N,1,
,Global Warming,ABC News/Discovery Channel/Stanford University,07/23-28/08,"Do you think most scientists agree with one another about how much of a threat global warming poses, or is there a lot of disagreement among scientists about that?",33,62,5,2,N,Y,500,,0,1,L,DYT,N,1,
,Global Warming,ABC News and The Washington Post,12/10-13/09,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",36,62,2,2,N,Y,"1,003",,0,1,L,DYT,N,1,
,TARP,Pew Research Center for the People & the Press,11/11-14/10,"(Next I'd like to ask about some things that have been in the news. Please answer as best as you can. If you don't know the answer just tell me and we'll move to the next question.)...The federal government loaned money to banks under the bank bailout program known as TARP (Troubled Asset Relief Program). How much of that money has been paid back to the government?...All of it, more than half of it, less than half of it, none of it",16,56,28,4,Y,N,"1,001",,1,2,L,N/A,N,0,
,TARP,Pew Research Center for the People & the Press,07/1-5/10,"(Next I'd like to ask you about some things that have been in the news. Please answer as best you can. If you don't know the answer just tell me and we'll move on to the next question.)...Was the government bailout of banks and financial institutions, also known as TARP (Troubled Asset Relief Program), passed and signed into law under President George W. Bush or President Barack Obama?",34,47,19,2,Y,N,"1,007",,0,1,N,N/A,N,0,
,Soldier Deaths,Pew Research Center for the People & the Press,08/16-19/07,"Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 1,500, around 2,500, around 3,500, or around 4,500 troop deaths?",54,44,2,4,N,Y,"1,005",,1,2,N,TBYK,N,0,
,Soldier Deaths,Pew Research Center for the People & the Press,3/26-29/09,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.)...Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,300, around 3,300, around 4,300 or around 5,300 troop deaths?",38,60,2,4,N,Y,"1,003",,1,2,N,TBYK,N,0,
,Soldier Deaths,Pew Research Center for the People & the Press,10/16-19/09,"Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,300, around 4,300, around 6,300, or around 8,300 troop deaths?",42,52,6,4,N,Y,"1,004",,1,2,N,TBYK,N,0,
,Soldier Deaths,Pew Research Center for the People & the Press,10/16-19/09,"Since the start of military action in Afghanistan, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 400, around 900, around 1,500, or around 2,500 troop deaths?",25,67,8,4,N,Y,"1,004",,2,1,N,TBYK,N,0,
,Economy,Pew Research Center for the People & the Press,11/11-14/10,"(Next I'd like to ask about some things that have been in the news. Please answer as best as you can. If you don't know the answer just tell me and we'll move to the next question.)...Do you happen to know if the national unemployment rate as reported by the government is currently closer to...5%, 10%, 15% or 20%?",53,30,17,4,Y,N,"1,001",,1,2,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,7/1-5/10,"(Next I'd like to ask you about some things that have been in the news. Please answer as best you can. If you don't know the answer just tell me and we'll move on to the next question.)...Do you happen to know if the national unemployment rate as reported by the government is currently closer to...5%, 10%, 15%, or 20%?",54,29,18,4,Y,N,"1,007",,1,2,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,1/14-17/10,"(Next I'd like to ask about some things that have been in the news. Please answer as best you can. If you don't know the answer just tell me and we'll move to the next question.)...Do you happen to know if the national unemployment rate is currently closer to...5%, 10%, 15%, or 20%?",55,32,12,4,Y,N,"1,003",,1,2,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,3/26-29/09,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.)...Do you happen to know if the national unemployment rate is currently closer to...4%, 8%, 12% or 16%?",53,55,2,4,N,N,"1,003",,2,1,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,1/14-17/10,"Next I'd like to ask about some things that have been in the news. Please answer as best you can. If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?",36,16,48,4,Y,N,"1,003",,1,2,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,3/26-29/09,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.)...Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 8,000 or 11,000?",40,38,22,4,N,N,"1,003",,2,1,N,N/A,N,0,
,Economy,Pew Research Center for the People & the Press,12/4-7/08,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?",45,31,24,4,N,N,"1,000",,2,1,N,N/A,N,0,
